@relation DataSet-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.RemoveByName-E.*UNCHANGED.*-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.RemoveByName-E(.*:global:test)

@attribute ID numeric
@attribute ProjectID string
@attribute BugFixingCommit string
@attribute CommitURL string
@attribute BuggyCommitID string
@attribute RepairedCommitID string
@attribute Class string
@attribute Method string
@attribute Cluster string
@attribute ModifiedStatementCount numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:InfixExpression numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:InfixExpression numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:InfixExpression numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:InfixExpression numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:SwitchCase numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:SwitchCase numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:KeywordLiteral numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:KeywordLiteral numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:KeywordLiteral numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ArrayLiteral numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ArrayLiteral numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ArrayLiteral numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:NumberLiteral numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:NumberLiteral numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:NumberLiteral numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:RegExpLiteral numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:RegExpLiteral numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:RegExpLiteral numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:StringLiteral numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:StringLiteral numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:StringLiteral numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:StringLiteral numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:NewExpression numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:NewExpression numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:NewExpression numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ParenthesizedExpression numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ParenthesizedExpression numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ParenthesizedExpression numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ObjectProperty numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ObjectProperty numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ObjectProperty numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ObjectProperty numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:FunctionCall numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:FunctionCall numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:FunctionCall numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:FunctionCall numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:Scope numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:Scope numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:Scope numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ThrowStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ForInLoop numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ForInLoop numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:VariableInitializer numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:VariableInitializer numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:VariableInitializer numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:VariableInitializer numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:Name numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:Name numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:Name numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:Name numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:Assignment numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:Assignment numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:Assignment numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:Assignment numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:Block numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:Block numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:Block numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ObjectLiteral numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ObjectLiteral numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ObjectLiteral numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ObjectLiteral numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:CatchClause numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:UnaryExpression numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:UnaryExpression numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:UnaryExpression numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ConditionalExpression numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ConditionalExpression numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ConditionalExpression numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ConditionalExpression numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ElementGet numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ElementGet numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ElementGet numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:PropertyGet numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:PropertyGet numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:PropertyGet numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:PropertyGet numeric

@data
1,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/6d268955e1488bcb571c0b4fbe22aeee5aa881c0,88f4a1c6f13736125fb9f57a5288294c1b4a2122,6d268955e1488bcb571c0b4fbe22aeee5aa881c0,'\'ClassNA\'','\'MethodNA\'','?',0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/5ebf15cdc230568c70d0b1e7a3e75737fb390007,6d513de85e01b50d2f23bdc99c60a8645469f755,5ebf15cdc230568c70d0b1e7a3e75737fb390007,'\'ClassNA\'','\'MethodNA\'','?',0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/617b8566ee51fbdfb62a2a1f78a397c3f3ec7581,484c26114cd3749c43d67f2665d293f19f22a6b9,617b8566ee51fbdfb62a2a1f78a397c3f3ec7581,'\'ClassNA\'','\'MethodNA\'','?',0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/434123cdc3e3731e9bd4b4d9cb21784c7e91a550,34f9fcb075e6cc9e2d431c127a9f3900fc49ce83,434123cdc3e3731e9bd4b4d9cb21784c7e91a550,'\'ClassNA\'','\'MethodNA\'',cluster11,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/2b28f55d787ac9eee9993d585b34d4330bd5d6cf,d56c5d06c9b27e7cbc5e7cf269fa1d40de070071,2b28f55d787ac9eee9993d585b34d4330bd5d6cf,'\'ClassNA\'','\'MethodNA\'','?',0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
48,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/856516cc828cd5213f8762198d28f2bbb46cf2ba,b9933a335d74976daee16eca8f273f1957862571,856516cc828cd5213f8762198d28f2bbb46cf2ba,'\'ClassNA\'','\'MethodNA\'','?',0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
51,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/6e2065dba35d5e22bdc143a9e42a17deb3d09d9f,aed6451eab51e0dc2d41ba0cc814d61de2a7e944,6e2065dba35d5e22bdc143a9e42a17deb3d09d9f,'\'ClassNA\'','\'MethodNA\'',cluster0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/aed6451eab51e0dc2d41ba0cc814d61de2a7e944,367f167d85373f90505a5b221e4aa518bce90f5a,aed6451eab51e0dc2d41ba0cc814d61de2a7e944,'\'ClassNA\'','\'MethodNA\'','?',0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
67,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/c559425a12b5385c82f40508e635f1848a9ae30e,bb37b4da4f6176bcf8343d6f7f0fef56f1971e47,c559425a12b5385c82f40508e635f1848a9ae30e,'\'ClassNA\'','\'MethodNA\'','?',0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/bb37b4da4f6176bcf8343d6f7f0fef56f1971e47,39ad2d538a3da32f7e69ae8c9015e0061b6c2fe1,bb37b4da4f6176bcf8343d6f7f0fef56f1971e47,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
71,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/39ad2d538a3da32f7e69ae8c9015e0061b6c2fe1,9b882acd28cae06e103f78154524b247a020c7a9,39ad2d538a3da32f7e69ae8c9015e0061b6c2fe1,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
73,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/889b53e82489793e0ac25dfbe05c4eee0e23b88a,f4d3c99d49b81240478ca9bdd87c43911ffa4165,889b53e82489793e0ac25dfbe05c4eee0e23b88a,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
