@relation DataSet-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.RemoveByName-E.*UNCHANGED.*-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.RemoveByName-E(.*:global:test)

@attribute ID numeric
@attribute ProjectID string
@attribute BugFixingCommit string
@attribute CommitURL string
@attribute BuggyCommitID string
@attribute RepairedCommitID string
@attribute Class string
@attribute Method string
@attribute Cluster string
@attribute ModifiedStatementCount numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ForInLoop numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ForInLoop numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ThrowStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ThrowStatement numeric

@data
1,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/6d268955e1488bcb571c0b4fbe22aeee5aa881c0,88f4a1c6f13736125fb9f57a5288294c1b4a2122,6d268955e1488bcb571c0b4fbe22aeee5aa881c0,'\'ClassNA\'','\'MethodNA\'',cluster0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
6,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/617b8566ee51fbdfb62a2a1f78a397c3f3ec7581,484c26114cd3749c43d67f2665d293f19f22a6b9,617b8566ee51fbdfb62a2a1f78a397c3f3ec7581,'\'ClassNA\'','\'MethodNA\'','?',0.4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/434123cdc3e3731e9bd4b4d9cb21784c7e91a550,34f9fcb075e6cc9e2d431c127a9f3900fc49ce83,434123cdc3e3731e9bd4b4d9cb21784c7e91a550,'\'ClassNA\'','\'MethodNA\'',cluster10,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/aed6451eab51e0dc2d41ba0cc814d61de2a7e944,367f167d85373f90505a5b221e4aa518bce90f5a,aed6451eab51e0dc2d41ba0cc814d61de2a7e944,'\'ClassNA\'','\'MethodNA\'',cluster17,0.4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/c559425a12b5385c82f40508e635f1848a9ae30e,bb37b4da4f6176bcf8343d6f7f0fef56f1971e47,c559425a12b5385c82f40508e635f1848a9ae30e,'\'ClassNA\'','\'MethodNA\'',cluster17,0.4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/bb37b4da4f6176bcf8343d6f7f0fef56f1971e47,39ad2d538a3da32f7e69ae8c9015e0061b6c2fe1,bb37b4da4f6176bcf8343d6f7f0fef56f1971e47,'\'ClassNA\'','\'MethodNA\'',cluster21,0.8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/39ad2d538a3da32f7e69ae8c9015e0061b6c2fe1,9b882acd28cae06e103f78154524b247a020c7a9,39ad2d538a3da32f7e69ae8c9015e0061b6c2fe1,'\'ClassNA\'','\'MethodNA\'',cluster21,0.8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/889b53e82489793e0ac25dfbe05c4eee0e23b88a,f4d3c99d49b81240478ca9bdd87c43911ffa4165,889b53e82489793e0ac25dfbe05c4eee0e23b88a,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
77,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/735a62390966be2574727b0cfe7e08d6d05aa3f6,ca28f6e60e356052cac616f8f88560982217fa98,735a62390966be2574727b0cfe7e08d6d05aa3f6,'\'ClassNA\'','\'MethodNA\'',cluster3,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/78c3c04705876b54abb1aa62c51f3dc748e8a867,b607c61212ea0b9dc6151757b44912ce21afa214,78c3c04705876b54abb1aa62c51f3dc748e8a867,'\'ClassNA\'','\'MethodNA\'','?',1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
