"","Cluster","nome_coluna","V1"
"1",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",22
"2",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",17
"3",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",16
"4",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",9
"5",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",5
"6",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",4
"7",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",3
"8",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",2
"9",1,"c(""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.VARIABLE_DECLARATION.REMOVED.global.error"", ""RESERVED.METHOD_CALL.UPDATED.global.error"", 
""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.UPDATED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.REMOVED.global.import"", ""RESERVED.ASSIGNMENT_RHS.REMOVED.global.import"", ""RESERVED.CONDITION.REMOVED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
"10",2,"c(""RESERVED.CONDITION.REMOVED.global.falsey"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"")",34
"11",2,"c(""RESERVED.CONDITION.REMOVED.global.falsey"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"")",1
"12",3,"c(""RESERVED.CONDITION.REMOVED.global.falsey"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"")",185
"13",3,"c(""RESERVED.CONDITION.REMOVED.global.falsey"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"")",4
"14",3,"c(""RESERVED.CONDITION.REMOVED.global.falsey"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""METHOD.METHOD_CALL.REMOVED.global.exec"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"")",1
"15",4,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""RESERVED.STATEMENT.REMOVED.global.new"")",816
"16",4,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_RHS.UPDATED.global.error"", ""RESERVED.STATEMENT.REMOVED.global.new"")",14
