"","Cluster","nome_coluna","V1"
"2",2,"RESERVED.CONDITION.INSERTED.global.falsey",655
"5",5,"RESERVED.CONDITION.REMOVED.global.falsey",147
"3",3,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.true",125
"19",23,"RESERVED.CONDITION.INSERTED.global.sheq",114
"64",73,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var",113
"11",14,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return",85
"60",68,"RESERVED.METHOD_CALL.INSERTED.global.this",83
"34",41,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.INSERTED.global.typeof",76
"78",89,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.CONDITION.REMOVED.global.falsey",76
"100",116,"FIELD.ASSIGNMENT_LHS.INSERTED.global.prototype",67
"72",81,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.var",66
"54",62,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false",63
"44",51,"METHOD.METHOD_CALL.INSERTED.global.replace",52
"47",54,"RESERVED.CONDITION.INSERTED.global.eq",49
"24",28,"RESERVED.ASSIGNMENT_LHS.INSERTED.global.this",48
"32",37,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.return",44
"49",56,"RESERVED.EXCEPTION_CATCH.INSERTED.global.error; RESERVED.STATEMENT.INSERTED.global.try",44
"35",42,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.true",40
"79",91,"RESERVED.CONDITION.REMOVED.global.sheq",40
"93",105,"RESERVED.ARGUMENT.REMOVED.global.this",40
"74",85,"RESERVED.CONDITION.REMOVED.global.falsey",34
"28",33,"RESERVED.STATEMENT.UPDATED.global.var",33
"67",76,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.true; RESERVED.STATEMENT.UPDATED.global.var",32
"81",93,"RESERVED.CONDITION.INSERTED.global.typeof; RESERVED.CONDITION.INSERTED.global.undefined",31
"96",110,"RESERVED.ARGUMENT.INSERTED.global.this",31
"83",95,"RESERVED.METHOD_CALL.REMOVED.global.this",30
"53",61,"RESERVED.ARGUMENT.INSERTED.global.null",28
"154",178,"RESERVED.ARGUMENT.INSERTED.global.true",26
"45",52,"FIELD.CONDITION.INSERTED.global.length",25
"51",58,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.null",24
"69",78,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.INSERTED.global.return",24
"202",229,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.null; RESERVED.STATEMENT.UPDATED.global.var",24
"1",1,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var",23
"4",4,"RESERVED.ARGUMENT.INSERTED.global.error",23
"14",17,"RESERVED.CONDITION.INSERTED.global.null; RESERVED.CONDITION.INSERTED.global.typeof",23
"48",55,"RESERVED.CONDITION.INSERTED.global.eq; RESERVED.CONDITION.INSERTED.global.typeof",23
"70",79,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.eq",23
"80",92,"RESERVED.ARGUMENT.REMOVED.global.error",23
"22",26,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.false",22
"159",183,"RESERVED.STATEMENT.UPDATED.global.var",21
"124",141,"RESERVED.STATEMENT.INSERTED.global.var",20
"139",157,"RESERVED.ASSIGNMENT_LHS.REMOVED.global.this",20
"15",18,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.ASSIGNMENT_RHS.REMOVED.global.true",19
"18",22,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.UPDATED.global.var",19
"50",57,"RESERVED.METHOD_CALL.INSERTED.global.error",19
"6",7,"METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.STATEMENT.UPDATED.global.var",18
"38",45,"METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.STATEMENT.UPDATED.global.return",17
"12",15,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.return; RESERVED.STATEMENT.REMOVED.global.return",16
"37",44,"METHOD.METHOD_CALL.INSERTED.global.filter",16
"82",94,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.null",16
"113",130,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.var; RESERVED.STATEMENT.UPDATED.global.var",16
"134",152,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.this; RESERVED.STATEMENT.INSERTED.global.var",16
"63",72,"RESERVED.STATEMENT.INSERTED.global.return",15
"73",84,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.true; RESERVED.ASSIGNMENT_RHS.REMOVED.global.false",15
"132",149,"METHOD.METHOD_CALL.INSERTED.global.bind",15
"146",167,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var",15
"153",176,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.INSERTED.global.typeof",15
"210",237,"RESERVED.METHOD_CALL.REMOVED.global.error",15
"25",30,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.STATEMENT.UPDATED.global.var",14
"94",107,"RESERVED.CONDITION.INSERTED.global.typeof",14
"110",127,"RESERVED.CONDITION.REMOVED.global.sheq; RESERVED.CONDITION.REMOVED.global.typeof",14
"114",131,"RESERVED.CONDITION.INSERTED.global.eq; RESERVED.CONDITION.REMOVED.global.sheq",14
"141",160,"METHOD.METHOD_CALL.REMOVED.global.replace",14
"9",12,"FIELD.CONDITION.INSERTED.global.length; RESERVED.CONDITION.INSERTED.global.typeof",13
"31",36,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.this",13
"57",65,"METHOD.METHOD_CALL.INSERTED.global.push",13
"87",99,"RESERVED.ARGUMENT.REMOVED.global.true",13
"104",120,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.REMOVED.global.sheq",13
"115",132,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.METHOD_CALL.INSERTED.global.callback; RESERVED.STATEMENT.INSERTED.global.return",13
"118",135,"METHOD.METHOD_CALL.INSERTED.global.toLowerCase",13
"172",196,"RESERVED.CONDITION.REMOVED.global.eq",13
"176",200,"RESERVED.ARGUMENT.REMOVED.global.null",13
"181",206,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.CONDITION.INSERTED.global.falsey",13
"197",223,"METHOD.METHOD_CALL.INSERTED.global.forEach; METHOD.METHOD_CALL.REMOVED.global.forEach",13
"8",10,"METHOD.METHOD_CALL.INSERTED.global.indexOf",12
"59",67,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.CONDITION.INSERTED.global.sheq",12
"109",126,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.true; RESERVED.CONDITION.INSERTED.global.falsey",12
"119",136,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.CONDITION.INSERTED.global.typeof; RESERVED.STATEMENT.INSERTED.global.new",12
"127",144,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.var; RESERVED.STATEMENT.REMOVED.global.var",12
"156",180,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.REMOVED.global.return",12
"169",193,"RESERVED.CONDITION.INSERTED.global.typeof; RESERVED.CONDITION.REMOVED.global.typeof",12
"171",195,"RESERVED.CONDITION.INSERTED.global.error; RESERVED.CONDITION.INSERTED.global.falsey",12
"7",8,"RESERVED.CONDITION.INSERTED.global.sheq; RESERVED.STATEMENT.INSERTED.global.var",11
"17",21,"CLASS.METHOD_CALL.REMOVED.global.JSON; METHOD.METHOD_CALL.REMOVED.global.ify",11
"62",71,"RESERVED.ARGUMENT.INSERTED.global.false",11
"71",80,"FIELD.ASSIGNMENT_LHS.REMOVED.global.prototype",11
"89",101,"METHOD.METHOD_CALL.INSERTED.global.slice",11
"90",102,"RESERVED.CONDITION.INSERTED.global.false; RESERVED.CONDITION.INSERTED.global.sheq",11
"107",124,"RESERVED.ARGUMENT.INSERTED.global.null; RESERVED.STATEMENT.UPDATED.global.return",11
"130",147,"RESERVED.ASSIGNMENT_LHS.INSERTED.global.this; RESERVED.ASSIGNMENT_RHS.INSERTED.global.true",11
"164",188,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.REMOVED.global.var",11
"209",236,"RESERVED.ARGUMENT.INSERTED.global.callback",11
"10",13,"FIELD.ASSIGNMENT_LHS.INSERTED.global.global",10
"41",48,"METHOD.METHOD_CALL.INSERTED.global.hasOwnProperty; RESERVED.CONDITION.INSERTED.global.falsey",10
