"","Cluster","nome_coluna","V1"
"1",1,"RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new",5
"2",1,"RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new",4
"3",1,"RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new",2
"4",1,"RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new",1
"5",2,"RESERVED.EXPRESSION.UPDATED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.VARIABLE_DECLARATION.REMOVED.global.error; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.METHOD_CALL.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new; 
""METHOD.METHOD_CALL.UPDATED.global.exec; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.new",18
"6",2,"RESERVED.EXPRESSION.UPDATED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.VARIABLE_DECLARATION.REMOVED.global.error; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.METHOD_CALL.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new; 
""METHOD.METHOD_CALL.UPDATED.global.exec; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.new",15
"7",2,"RESERVED.EXPRESSION.UPDATED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.VARIABLE_DECLARATION.REMOVED.global.error; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.METHOD_CALL.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new; 
""METHOD.METHOD_CALL.UPDATED.global.exec; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.new",5
"8",2,"RESERVED.EXPRESSION.UPDATED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.VARIABLE_DECLARATION.REMOVED.global.error; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.METHOD_CALL.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new; 
""METHOD.METHOD_CALL.UPDATED.global.exec; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.new",4
"9",2,"RESERVED.EXPRESSION.UPDATED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.VARIABLE_DECLARATION.REMOVED.global.error; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.METHOD_CALL.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new; 
""METHOD.METHOD_CALL.UPDATED.global.exec; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.new",3
"10",2,"RESERVED.EXPRESSION.UPDATED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.VARIABLE_DECLARATION.REMOVED.global.error; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.METHOD_CALL.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new; 
""METHOD.METHOD_CALL.UPDATED.global.exec; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.new",2
"11",2,"RESERVED.EXPRESSION.UPDATED.global.error; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXCEPTION_CATCH.REMOVED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.VARIABLE_DECLARATION.REMOVED.global.error; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.METHOD_CALL.UPDATED.global.error; RESERVED.STATEMENT.INSERTED.global.new; 
""METHOD.METHOD_CALL.UPDATED.global.exec; RESERVED.ASSIGNMENT_LHS.REMOVED.global.import; RESERVED.ASSIGNMENT_LHS.UPDATED.global.error; RESERVED.ASSIGNMENT_RHS.REMOVED.global.import; RESERVED.CONDITION.REMOVED.global.new",1
"12",3,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new",29
"13",3,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; METHOD.METHOD_CALL.REMOVED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new",1
"14",4,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var",4
"15",5,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; METHOD.METHOD_CALL.REMOVED.global.exec",36
"16",5,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; METHOD.METHOD_CALL.REMOVED.global.exec",2
"17",5,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; METHOD.METHOD_CALL.REMOVED.global.exec",1
"18",6,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",149
"19",6,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",2
"20",6,"RESERVED.CONDITION.REMOVED.global.falsey; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.PARAMETER_DECLARATION.INSERTED.global.error",1
"21",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",721
"22",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",12
"23",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",7
"24",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",4
"25",7,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.ARGUMENT.REMOVED.global.error; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.REMOVED.global.new",1
"26",8,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXPRESSION.UPDATED.global.error",95
"27",8,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXPRESSION.UPDATED.global.error",2
"28",8,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.INSERTED.global.new; METHOD.METHOD_CALL.INSERTED.global.exec; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.ASSIGNMENT_RHS.UPDATED.global.error; RESERVED.EXPRESSION.UPDATED.global.error",1
"29",9,"RESERVED.CONDITION.INSERTED.global.falsey; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.STATEMENT.INSERTED.global.new",127
