1         {RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 4, Instances = 655, Complexity = 1, BasicChanges = 1, ProjectCount = 67
2         {RESERVED:CONDITION:INSERTED:global:falsey:2.0}: ClusterID = 7, Instances = 160, Complexity = 2, BasicChanges = 1, ProjectCount = 46
3         {RESERVED:CONDITION:REMOVED:global:falsey:1.0}: ClusterID = 12, Instances = 147, Complexity = 2, BasicChanges = 1, ProjectCount = 46
4         {RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0}: ClusterID = 0, Instances = 125, Complexity = 1, BasicChanges = 1, ProjectCount = 35
5         {RESERVED:CONDITION:INSERTED:global:sheq:1.0}: ClusterID = 1, Instances = 114, Complexity = 1, BasicChanges = 1, ProjectCount = 42
6         {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:STATEMENT:UPDATED:global:var:1.0}: ClusterID = 13, Instances = 113, Complexity = 2, BasicChanges = 2, ProjectCount = 39
7         {RESERVED:STATEMENT:INSERTED:global:return:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 36, Instances = 85, Complexity = 2, BasicChanges = 2, ProjectCount = 36
8         {RESERVED:METHOD_CALL:INSERTED:global:this:1.0}: ClusterID = 91, Instances = 83, Complexity = 1, BasicChanges = 1, ProjectCount = 29
9         {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:CONDITION:INSERTED:global:typeof:1.0}: ClusterID = 45, Instances = 76, Complexity = 1, BasicChanges = 2, ProjectCount = 36
10        {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:CONDITION:REMOVED:global:falsey:1.0}: ClusterID = 25, Instances = 76, Complexity = 2, BasicChanges = 2, ProjectCount = 25
11        {FIELD:ASSIGNMENT_LHS:INSERTED:global:prototype:1.0}: ClusterID = 73, Instances = 67, Complexity = 3, BasicChanges = 1, ProjectCount = 24
12        {RESERVED:STATEMENT:INSERTED:global:var:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 9, Instances = 66, Complexity = 3, BasicChanges = 2, ProjectCount = 29
13        {RESERVED:ASSIGNMENT_RHS:INSERTED:global:false:1.0}: ClusterID = 6, Instances = 61, Complexity = 1, BasicChanges = 1, ProjectCount = 31
14        {METHOD:METHOD_CALL:INSERTED:global:replace:1.0}: ClusterID = 10, Instances = 52, Complexity = 1, BasicChanges = 1, ProjectCount = 21
15        {RESERVED:CONDITION:INSERTED:global:eq:1.0}: ClusterID = 76, Instances = 49, Complexity = 2, BasicChanges = 1, ProjectCount = 19
16        {RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0}: ClusterID = 17, Instances = 48, Complexity = 2, BasicChanges = 1, ProjectCount = 23
17        {RESERVED:STATEMENT:INSERTED:global:try:1.0 RESERVED:EXCEPTION_CATCH:INSERTED:global:error:1.0}: ClusterID = 63, Instances = 44, Complexity = 3, BasicChanges = 2, ProjectCount = 23
