IDRepair;IDCommit;ProjectID;Cluster;IDClustertByCluster;IDRepairByCluster;QuantidadeBasicChanges;QuantidadeBCTsMath;BCT1_ByCluster;BCT1_ByCluster_MathWith;BCT2_ByCluster;BCT2_ByCluster_MathWith;BCT1;BCT2;True Positive;True Negative;False Negative;False Positive
3;344; mediacenterjs;1;2;0;2;2;RESERVED:CONDITION:INSERTED:global:undefined:1.0;BCT2;RESERVED:CONDITION:INSERTED:global:typeof:1.0;BCT1;RESERVED:CONDITION:INSERTED:global:typeof:1.0;RESERVED:CONDITION:INSERTED:global:undefined:1.0;1;0;0;0
3;516; mediacenterjs;1;2;0;2;2;RESERVED:CONDITION:INSERTED:global:undefined:1.0;BCT2;RESERVED:CONDITION:INSERTED:global:typeof:1.0;BCT1;RESERVED:CONDITION:INSERTED:global:typeof:1.0;RESERVED:CONDITION:INSERTED:global:undefined:1.0;1;0;0;0
3;551; mediacenterjs;1;2;0;2;2;RESERVED:CONDITION:INSERTED:global:undefined:1.0;BCT2;RESERVED:CONDITION:INSERTED:global:typeof:1.0;BCT1;RESERVED:CONDITION:INSERTED:global:typeof:1.0;RESERVED:CONDITION:INSERTED:global:undefined:1.0;1;0;0;0
5;599; mediacenterjs;1;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
3;1075; mediacenterjs;1;2;0;2;2;RESERVED:CONDITION:INSERTED:global:undefined:1.0;BCT2;RESERVED:CONDITION:INSERTED:global:typeof:1.0;BCT1;RESERVED:CONDITION:INSERTED:global:typeof:1.0;RESERVED:CONDITION:INSERTED:global:undefined:1.0;1;0;0;0
3;1; mediacenterjs;2;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
3;512; mediacenterjs;3;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
7;1858; pm2;1;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;2215; pm2;1;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;2754; pm2;1;1;0;1;1;RESERVED:CONDITION:INSERTED:global:falsey:1.0;BCT1;NA;NA;RESERVED:CONDITION:INSERTED:global:falsey:1.0;NA;0;0;0;1
5;2823; pm2;1;1;0;1;1;RESERVED:CONDITION:INSERTED:global:falsey:1.0;BCT1;NA;NA;RESERVED:CONDITION:INSERTED:global:falsey:1.0;NA;0;0;0;1
5;2949; pm2;1;1;0;1;1;RESERVED:CONDITION:INSERTED:global:falsey:1.0;BCT1;NA;NA;RESERVED:CONDITION:INSERTED:global:falsey:1.0;NA;0;0;0;1
5;3271; pm2;1;2;0;2;2;RESERVED:CONDITION:INSERTED:global:undefined:1.0;BCT2;RESERVED:CONDITION:INSERTED:global:typeof:1.0;BCT1;RESERVED:CONDITION:INSERTED:global:typeof:1.0;RESERVED:CONDITION:INSERTED:global:undefined:1.0;0;0;0;1
5;3775; pm2;1;0;0;2;2;RESERVED:CONDITION:INSERTED:global:falsey:1.0;BCT2;RESERVED:STATEMENT:UPDATED:global:var:1.0;BCT1;RESERVED:STATEMENT:UPDATED:global:var:1.0;RESERVED:CONDITION:INSERTED:global:falsey:1.0;0;0;1;0
5;2669; pm2;2;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;3034; pm2;2;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;3414; pm2;1;1;0;1;1;RESERVED:CONDITION:INSERTED:global:falsey:1.0;BCT1;NA;NA;RESERVED:CONDITION:INSERTED:global:falsey:1.0;NA;0;0;0;1
6;1982; pm2;3;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;255; mediacenterjs;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;2638; pm2;3;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
7;2661; pm2;3;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
7;2728; pm2;3;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;2995; pm2;3;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;3099; pm2;3;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
6;3274; pm2;3;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
6;3217; pm2;4;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
6;3963; pm2;4;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;3121; pm2;5;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
6;374; mediacenterjs;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;3227; pm2;4;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
5;325; mediacenterjs;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;1;0
