1         {RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 11, Instances = 790, Complexity = 1, BasicChanges = 1, ProjectCount = 72
2         {RESERVED:CONDITION:INSERTED:global:falsey:2.0}: ClusterID = 1, Instances = 193, Complexity = 2, BasicChanges = 1, ProjectCount = 47
3         {RESERVED:CONDITION:REMOVED:global:falsey:1.0}: ClusterID = 0, Instances = 183, Complexity = 2, BasicChanges = 1, ProjectCount = 48
4         {RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0}: ClusterID = 16, Instances = 180, Complexity = 1, BasicChanges = 1, ProjectCount = 38
5         {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:STATEMENT:UPDATED:global:var:1.0}: ClusterID = 23, Instances = 147, Complexity = 1, BasicChanges = 2, ProjectCount = 43
6         {RESERVED:CONDITION:INSERTED:global:sheq:1.0}: ClusterID = 12, Instances = 131, Complexity = 1, BasicChanges = 1, ProjectCount = 45
7         {RESERVED:METHOD_CALL:INSERTED:global:this:1.0}: ClusterID = 22, Instances = 125, Complexity = 1, BasicChanges = 1, ProjectCount = 33
8         {RESERVED:STATEMENT:INSERTED:global:return:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 10, Instances = 110, Complexity = 2, BasicChanges = 2, ProjectCount = 39
9         {FIELD:ASSIGNMENT_LHS:INSERTED:global:prototype:1.0}: ClusterID = 63, Instances = 93, Complexity = 3, BasicChanges = 1, ProjectCount = 28
10        {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:CONDITION:REMOVED:global:falsey:1.0}: ClusterID = 31, Instances = 93, Complexity = 2, BasicChanges = 2, ProjectCount = 29
11        {RESERVED:STATEMENT:INSERTED:global:var:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 25, Instances = 81, Complexity = 3, BasicChanges = 2, ProjectCount = 33
12        {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:CONDITION:INSERTED:global:typeof:1.0}: ClusterID = 35, Instances = 78, Complexity = 1, BasicChanges = 2, ProjectCount = 36
13        {RESERVED:ASSIGNMENT_RHS:INSERTED:global:false:1.0}: ClusterID = 80, Instances = 75, Complexity = 1, BasicChanges = 1, ProjectCount = 31
14        {METHOD:METHOD_CALL:INSERTED:global:replace:1.0}: ClusterID = 104, Instances = 70, Complexity = 1, BasicChanges = 1, ProjectCount = 28
15        {RESERVED:CONDITION:INSERTED:global:eq:1.0}: ClusterID = 56, Instances = 64, Complexity = 1, BasicChanges = 1, ProjectCount = 21
16        {RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0}: ClusterID = 14, Instances = 58, Complexity = 2, BasicChanges = 1, ProjectCount = 28
17        {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:STATEMENT:UPDATED:global:return:1.0}: ClusterID = 69, Instances = 57, Complexity = 1, BasicChanges = 2, ProjectCount = 25
18        {RESERVED:ASSIGNMENT_RHS:REMOVED:global:true:1.0}: ClusterID = 34, Instances = 57, Complexity = 1, BasicChanges = 1, ProjectCount = 30
